"#chrom","start","end","min_p","n_probes","z_p","z_sidak_p"
"chr2",236826206,236826485,1.059e-28,5,8.017e-44,1.025e-40
"chr7",156741513,156741808,7.221e-07,5,4.594e-14,5.556e-11
"chr3",148804977,148805294,5.79e-34,6,1.613e-53,1.814e-50
"chr11",6494899,6495256,1.956e-19,5,2.148e-33,2.145e-30
"chr7",27225221,27225897,2.305e-24,15,2.778e-47,1.466e-44
"chr17",36981594,36981749,9.968e-21,5,3.817e-32,8.781e-29
"chr17",3704470,3704621,4.417e-12,6,3.197e-19,7.55e-16
"chr7",94285269,94286793,3.467e-38,55,1.657e-85,3.877e-83
"chr2",51259692,51260003,1.199e-11,6,1.41e-20,1.617e-17
"chr11",67007583,67007855,1.02e-26,8,3.107e-40,4.073e-37
"chr3",150690356,150690585,1.478e-39,5,5.59e-47,8.705e-44
"chr4",165878036,165878136,2.781e-11,5,1.25e-12,4.458e-09
"chr1",161049442,161049677,3.045e-19,5,2.641e-31,4.008e-28
"chr6",33284346,33284542,8.46e-29,7,2.525e-31,4.594e-28
"chr22",24384104,24384400,1.279e-21,10,1.084e-25,1.306e-22
"chr6",32632956,32633163,5.994e-10,7,4.815e-12,8.295e-09
"chr16",67977864,67978216,2.981e-33,5,8.154e-50,8.261e-47
"chr18",19997863,19998049,1.078e-39,7,1.359e-33,2.606e-30
"chr5",140346105,140346293,2.784e-24,5,1.389e-27,2.636e-24
"chr7",120968876,120969174,4.616e-19,8,1.089e-32,1.303e-29
"chr11",118134800,118135270,1.097e-19,8,9.966e-34,7.561e-31
"chr3",5024760,5024963,8.746e-33,5,5.646e-41,9.917e-38
"chr2",201170789,201170828,7.77e-24,5,1.596e-26,1.46e-22
"chr17",74075091,74075336,1.271e-12,5,2.17e-24,3.159e-21
"chr7",27260101,27260466,4.236e-16,5,7.45e-32,7.278e-29
"chr1",230415184,230415668,6.665e-22,6,9.524e-45,7.017e-42
"chr6",8102918,8103092,8.178e-23,5,1.714e-26,3.513e-23
"chr10",92631134,92631285,5.517e-29,5,2.883e-33,6.809e-30
"chr2",3704362,3704773,6.983e-14,6,5.956e-28,5.167e-25
"chr16",84224563,84224901,2.41e-30,5,1.208e-49,1.274e-46
"chr8",143859668,143859895,6.981e-18,6,6.801e-24,1.068e-20
"chr17",37123637,37123949,4.128e-18,9,8.026e-26,9.173e-23
"chr5",140624868,140625130,3.669e-18,7,1.202e-21,1.636e-18
"chr19",11909182,11909408,4.675e-26,7,3.991e-19,6.297e-16
"chr1",901684,901892,4.976e-28,5,4.642e-33,7.958e-30
"chr21",42219138,42219299,8.134e-25,6,3.868e-28,8.568e-25
"chr6",29520964,29521272,8.703e-22,9,2.391e-29,2.768e-26
"chr5",71014735,71014918,4.171e-32,7,7.811e-32,1.522e-28
"chr19",57989026,57989182,5.202e-30,5,4.609e-32,1.054e-28
"chr19",19373565,19373755,9.398e-20,5,6.119e-31,1.148e-27
"chr13",31506684,31506963,6.381e-11,7,1.274e-14,1.632e-11
"chr8",144635259,144635610,1.169e-29,9,2.989e-43,3.037e-40
"chr12",104697386,104697631,5.528e-14,8,1.287e-24,1.873e-21
"chr3",42201313,42201649,1.643e-12,5,8.811e-22,9.352e-19
"chr6",28891717,28892077,0,10,4.774e-47,4.729e-44
"chr1",94344134,94344710,3.516e-16,8,1.286e-29,7.963e-27
"chr6",29594829,29595506,1.769e-21,13,3.908e-40,2.058e-37
"chr6",10881890,10882240,2.824e-17,6,3.431e-29,3.496e-26
"chr3",158390509,158390821,1.134e-20,7,3.856e-35,4.407e-32
"chr3",113160070,113160637,6.894e-17,9,3.309e-28,2.081e-25
"chr13",33780077,33780362,7.21e-17,5,1.216e-25,1.521e-22
"chr5",149546330,149546471,1.348e-26,5,7.051e-29,1.783e-25
"chr11",31837103,31837250,4.17e-21,5,1.099e-33,2.665e-30
"chr2",44395748,44396058,1.474e-22,6,1.968e-29,2.264e-26
"chr11",65360122,65360509,3.373e-23,5,1.929e-38,1.778e-35
"chr13",51417685,51418092,2.665e-31,9,6.685e-31,5.857e-28
"chr19",46142573,46142711,1.017e-23,5,7.722e-30,1.996e-26
"chr8",48675646,48676092,8.426e-12,7,2.344e-24,1.874e-21
"chr17",7323539,7323730,0,5,2.652e-51,4.952e-48
"chr1",25292017,25292412,1.853e-37,8,1.531e-52,1.382e-49
"chr14",24780539,24780926,7.549e-15,9,6.275e-21,5.782e-18
"chr10",54068371,54068594,2.557e-24,5,2.395e-34,3.83e-31
"chr11",278393,278538,8.921e-42,6,2.618e-51,6.44e-48
"chr2",127963488,127963653,2.009e-25,5,4.357e-40,9.417e-37
"chr6",32037096,32037426,1.17e-29,7,9.523e-43,1.029e-39
"chr15",49170065,49170244,1.603e-26,5,6.36e-33,1.267e-29
"chr3",147110228,147110378,6.599e-25,5,5.761e-30,1.37e-26
"chr7",1095415,1095720,5.089e-20,6,5.074e-25,5.932e-22
"chr2",128458239,128458556,9.528e-23,6,1.165e-33,1.31e-30
"chr12",109531353,109531595,1.484e-23,6,1.192e-26,1.756e-23
"chr17",17109569,17109817,2.73e-15,7,8.796e-19,1.265e-15
"chr4",47839875,47840136,1.763e-19,5,1.051e-28,1.435e-25
"chr19",17931931,17932369,4.383e-30,9,4.037e-46,3.287e-43
"chr17",49230755,49230881,1.656e-36,6,9.938e-36,2.813e-32
"chr18",44236846,44237151,0,8,1.491e-49,1.744e-46
"chr6",351115,351402,3.022e-21,5,6.803e-39,8.453e-36
"chr6",43478454,43478530,5.71e-35,5,6.837e-33,3.208e-29
"chr21",37915043,37915391,9.261e-16,6,1.414e-25,1.449e-22
"chr5",1225294,1225719,1.834e-38,7,3.475e-52,2.915e-49
"chr2",73114255,73114426,1.973e-31,7,1.831e-36,3.819e-33
"chr8",108510095,108510343,1.603e-14,5,1.14e-22,1.64e-19
"chr1",179847084,179847162,2.164e-31,5,3.941e-32,1.802e-28
"chr22",32341327,32341492,5.472e-31,6,3.128e-24,6.761e-21
"chr6",29944979,29945155,3.94e-38,10,2.499e-39,5.063e-36
"chr3",49170495,49170849,7.865e-15,6,1.301e-20,1.311e-17
"chr1",116518909,116519214,7.465e-30,6,2.956e-33,3.456e-30
"chr12",81471648,81471884,7.135e-17,7,3.684e-29,5.567e-26
"chr22",39712955,39713086,2.665e-40,6,7.888e-40,2.147e-36
"chr5",170736131,170736335,3.661e-29,7,7.635e-27,1.335e-23
"chr5",78985424,78985592,1.816e-13,9,8.095e-17,2.357e-13
"chr11",46366642,46367100,7.228e-15,7,1.591e-26,1.239e-23
"chr17",72427537,72427693,2.968e-24,5,3.3e-29,7.543e-26
"chr8",99306715,99306953,9.654e-24,6,9.218e-36,1.381e-32
"chr12",89748725,89749142,8.24e-21,7,2.002e-20,1.712e-17
"chr6",138893613,138893718,4.516e-24,6,1.051e-24,3.57e-21
"chr1",42618890,42619163,1.017e-40,6,1.882e-59,2.458e-56
"chr11",76380920,76381236,3.459e-30,8,1.899e-32,2.143e-29
"chr7",50861417,50862067,8.921e-42,18,1.028e-56,5.639e-54
"chr19",18496755,18497064,3.932e-17,6,8.71e-26,1.005e-22
"chr10",105156203,105156444,3.84e-23,6,2.557e-27,3.783e-24
"chr5",74162770,74162924,5.906e-22,5,1.55e-24,3.589e-21
"chr17",6658705,6659199,3.231e-24,7,3.602e-29,2.6e-26
"chr10",47083282,47083504,3.569e-18,5,2.717e-24,4.365e-21
"chr21",38070523,38070671,6.455e-24,5,1.136e-29,2.737e-26
"chr1",3607096,3607425,1.278e-28,6,3.352e-36,3.633e-33
"chr2",176046456,176046632,1.89e-32,5,5.832e-35,1.182e-31
